date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-05-03,2021,"Annual Programme 2021, Global Funds",267567,"Denmark, Government of",Government,DNK,2021,2021,,,,OXFAM,NGO,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-04,2021-05-03,,1643395,DKK,6.142,231273,2017-12486,2021-06-29,2021-06-30
2021-05-03,2021,"COVID-19 appeal 2021-2022, IFRC",1204819,"Denmark, Government of",Government,DNK,2021,2021,,,,Danish Red Cross,Red Cross/Red Crescent,Health,IND,,,Coronavirus disease Outbreak - COVID -19,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-05-03,,7400000,DKK,6.142,231477,2021-17379,2021-06-29,2021-06-30
2021-05-03,2021,COVID-19 Response,209052,"Denmark, Government of",Government,DNK,2021,2021,,,,ACT Alliance / DanChurchAid,NGO,Food Security,KHM,,,Coronavirus disease Outbreak - COVID -19,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-05-03,,1284000,DKK,6.142,231482,2017-12519,2021-06-29,2021-06-30
2021-04-27,2021,"Danish contribution to Afghanistan Humanitarian Fund, 2021",5628491,"Denmark, Government of",Government,DNK,2021,2021,Afghanistan Humanitarian Response Plan 2021,HAFG21,1031,Afghanistan Humanitarian Fund,Pooled fund,,AFG,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-05-06,2021-04-27,,34103026,DKK,6.059,231483,,2021-07-06,2021-07-06
2021-04-23,2021,Response to floods,134909,"Denmark, Government of",Government,DNK,2021,2021,,,,ACT Alliance / DanChurchAid,NGO,,SSD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-30,2021-04-23,,856000,DKK,6.345,231200,2017-12519,2021-05-01,2021-05-03
2021-04-23,2021,"Danish contribution to UNICE's efforts in Yemen, 2021",5516154,"Denmark, Government of",Government,DNK,2021,2021,Yemen Humanitarian Response Plan 2021,HYEM21,1024,United Nations Children's Fund,UN agency,,YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-04-23,,35000000,DKK,6.345,231484,2021-11702,2021-06-29,2021-06-30
2021-04-23,2021,"Danish contribution to UNFPA's efforts in Ethiopia, 2021",1576044,"Denmark, Government of",Government,DNK,2021,2021,Ethiopia Humanitarian Response Plan 2021,HETH21,1041,United Nations Population Fund,UN agency,,ETH,,,Ethiopia Tigray Complex Emergency,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-04-23,,10000000,DKK,6.345,231485,2021-15525,2021-06-29,2021-06-30
2021-04-23,2021,"Danish contribution to Yemen Humanitarian Fund, 2021",5717182,"Denmark, Government of",Government,DNK,2021,2021,Yemen Humanitarian Response Plan 2021,HYEM21,1024,Yemen Humanitarian Fund,Pooled fund,,YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-06,2021-04-23,,35000000,DKK,6.1219,231487,2021-11700,2021-06-29,2021-06-30
2021-04-20,2021,Food Insecurity,169143,"Denmark, Government of",Government,DNK,2021,2021,,,,OXFAM,NGO,Health,SSD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-30,2021-04-20,,1073210,DKK,6.345,231197,2017-12486,2021-05-01,2021-05-03
2021-04-20,2021,Improve early livelihood recovery to support the basic needs of communities affected by conflict,202364,"Denmark, Government of",Government,DNK,2021,2021,Ethiopia Humanitarian Response Plan 2021,HETH21,1041,ACT Alliance / DanChurchAid,NGO,Health,ETH,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-30,2021-04-20,,1284000,DKK,6.345,231199,2017-12519,2021-05-01,2021-05-03
2021-04-18,2021,Relief to IDPs,84318,"Denmark, Government of",Government,DNK,2021,2021,Iraq Humanitarian Response Plan 2021,HIRQ21,1035,ACT Alliance / DanChurchAid,NGO,Food Security,IRQ,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-30,2021-04-18,,535000,DKK,6.345,231198,2017-12519,2021-05-01,2021-05-03
2021-04-12,,Central Emergency Response Fund for 2021,27167399,"Denmark, Government of",Government,DNK,2021,2021,,,,Central Emergency Response Fund,Pooled fund,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-13,2021-04-12,,170000000,DKK,6.2575,230429,,2021-04-20,2021-04-20
2021-04-07,2021,"COVID-19 Response, COVID-19 Vaccinations",113830,"Denmark, Government of",Government,DNK,2021,2021,,,,Danish Red Cross,Red Cross/Red Crescent,Health,KEN,,,Coronavirus disease Outbreak - COVID -19,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-30,2021-04-07,,722250,DKK,6.345,231217,2017-12520,2021-05-01,2021-05-03
2021-04-06,2021,Tigray response,84318,"Denmark, Government of",Government,DNK,2021,2021,,,,Danish Red Cross,Red Cross/Red Crescent,Emergency Shelter and NFI,ETH,,,Ethiopia Tigray Complex Emergency,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-04-06,,535000,DKK,6.345,229876,2017-12520,2021-04-13,2021-04-16
2021-04-06,2021,COVID-19 Response - Telecommunications,87691,"Denmark, Government of",Government,DNK,2021,2021,,,,Danish Red Cross,Red Cross/Red Crescent,Emergency Telecommunications,MWI,,,Coronavirus disease Outbreak - COVID -19,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-04-06,,556400,DKK,6.345,229877,2017-12520,2021-04-13,2021-04-16
2021-03-31,2021,Response to emergency / WASH needs,168637,"Denmark, Government of",Government,DNK,2021,2021,Libya Humanitarian Response Plan 2021,HLBY21,1027,Danish Refugee Council,NGO,Water Sanitation Hygiene,LBY,"Provision of WASH services for displacement and conflict-affected Libyans, migrants and refugees",HLBY21-WSH-172856-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-12,2021-03-31,,1070000,DKK,6.345,229913,2017-12467,2021-04-13,2021-04-16
2021-03-30,2021,Response towards fire in Rohingya refugee camps in Cox Bazar,126084,"Denmark, Government of",Government,DNK,2021,2021,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2021,RBGD21,1023,Save the Children,NGO,,BGD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-03-30,,800000,DKK,6.345,229707,2017-12471,2021-04-10,2021-06-29
2021-03-25,2021,Response to the ongoing crisis in Myanmar,315179,"Denmark, Government of",Government,DNK,2021,2021,Myanmar Humanitarian Response Plan 2021,HMMR21,1046,Save the Children,NGO,Coordination and support services,MMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-29,2021-03-25,,1962617,DKK,6.227,229376,2017-12471,2021-03-30,2021-04-01
2021-03-23,2021,Acute response to fires in refugee camps in Cox Bazar,206199,"Denmark, Government of",Government,DNK,2021,2021,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2021,RBGD21,1023,ACT Alliance / DanChurchAid,NGO,Emergency Shelter and NFI,BGD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-25,2021-03-23,,1284000,DKK,6.227,229355,2017-12519,2021-03-26,2021-03-29
