,Country Name,Country ISO3,Year,Size,Poverty ratio (% Pop.),Vulnerable empolyment (% Empl.),Salaried workers (% Empl.),Undernourishment (% Pop.),Crop production index,Obesity (% Pop. 18+),Anemia among children (% Pop. 5-),Life expectancy (Years),"Birth rate (per 1,000)","Hospital beds (per 1,000)",Health expenditure (% GDP),Government healt expenditure (% Health Exp.),"Suicide rate (per 100,000)",Population age 65+ (% Pop.),Completed lower secondary (% Pop. 25+),PISA: Mean performance average,Education expenditure (% Public Insitutions Exp.),Education expenditure (% GDP),Female population (% Pop.),"School enrollment, tertiary (GPI)",Female labor force (% Labor),Domestic violence legislation,No work discrimination legislation,Sanitation services (% Pop.),Drinking water services (% Pop.),Access to electricity (% Pop.),Energy depletion (% GNI),Unemployment rate (% Labor),Youth not in education or employment (% Youth),Part time employment (% Empl.),Net national savings (% GDP),Central government debt (% GDP),GDP per capita (US$),GNI per capita growth (%),Account balance (% GDP),Inflation (%),Industry (% GDP),R&D expenditure (% GDP),"Refugee population per 1,000",Gini index,Population living in slums (% Urban Pop.),Urban population (% Pop.),Exposure to pollution (% Pop.),Particulate emission damage (% GNI),Renewable energy consumption (% Total Consum),"Greenhouse gas emissions (kt per 1,000)","CO2 emissions (kt per 1,000)",Carbon dioxide damage (% GNI),Marine protected areas (% waters),"Fisheries production (metric tons per 1,000)","Aquaculture production (metric tons per 1,000)","Agriculture, forestry, and fishing (% GDP)",Terrestrial protected areas (% of lands),"Mortality in the road (per 100,000)",Children out of school (% primary school age),Strength legal rights,Net ODA provided (% GNI),Fixed broadband subscriptions (per 100),Trade (% GDP),Foreign net direct investment (% GDP)
1397,Romania,ROU,2015,20,22.9,27.8500003814697,71.0299987792969,2.5,94.2,8.1,26.2,74.9121951219512,10.2,6.79,4.94264841,77.94290924,11.5,16.9654269034024,89.4869079589844,482.2964681660457,94.3171768188477,3.10676002502441,51.3185776671952,1.20217001438141,43.0006646629496,1.0,1.0,72.4275698314637,81.9019402534997,100.0,0.596889722540303,6.80999994277954,18.0799999237061,16.5599994659424,6.58861453446674,0.0,8969.14892146193,2.75070792798537,-0.007855095222402034,-0.594156437495137,30.0977947407462,0.48793,0.1302508082514316,35.9,0.0,53.887,99.3790947507232,0.160489927121876,23.6977940316245,0.0,3.619141539682642,1.41778234099203,0.0,1.0269046416157337,0.5572245670725048,4.18678861500269,0.0,10.0,7.76335000991821,9.0,0.0,21.39068791,83.5931599445395,-0.01849698069213196
1398,Romania,ROU,2016,20,17.4,25.5699996948242,73.3899993896484,2.5,100.81,7.800000000000001,26.8,75.209756097561,10.4,6.84,4.99377203,78.18263245,10.2,17.4217132153836,90.0044097900391,0.0,93.6546783447266,2.97410988807678,51.31469144708,1.21115005016327,42.886357192601,1.0,1.0,74.4483998811428,81.9056200936291,99.1,0.361579920949627,5.90000009536743,17.3799991607666,14.0200004577637,3.78364966376395,0.0,9548.58740298268,4.97242749278355,-0.015967924314142373,-1.54479666813904,30.1221432523301,0.48033,0.14617607202257488,34.4,14.3999996185303,53.9,97.9070690943822,0.155757302242975,0.0,0.0,3.5152619239197196,1.34005711715716,8.426852898,1.2842191863948955,0.6382022065500128,4.06961281472921,24.35,10.3,9.65598011016846,9.0,0.0,22.47643939,84.5964231112973,-0.026557715529579844
1399,Romania,ROU,2017,20,12.8,25.2600002288819,73.6999969482422,2.5,123.9,0.0,0.0,75.309756097561,10.8,6.89,5.1508317,78.58639526,10.1,17.8817265866248,90.5290374755859,0.0,95.1501998901367,3.09539008140564,51.3247555226258,1.21016001701355,43.2750022368884,1.0,1.0,76.5406884722213,81.9158094955324,100.0,0.504481632561737,4.92999982833862,15.1499996185303,13.7600002288818,2.99163996247408,0.0,10807.7953907179,7.83243924246675,-0.031102056375656717,1.33902121104396,28.8920319801113,0.5039,0.1996702964013909,36.0,0.0,53.936,98.0174648814994,0.157753887060732,0.0,0.0,0.0,1.25978032419624,23.0963049640615,1.4190936683303306,0.6533931031455857,4.31329822494739,24.461867500098,10.6,11.6002101898193,9.0,0.0,24.19358655,86.5185593073843,-0.02629521744060616
1400,Romania,ROU,2018,20,10.9,24.1700000762939,74.7799987792969,2.5,139.08,0.0,0.0,75.3585365853659,10.4,0.0,5.55660582,79.69070435,10.2,18.3387013938296,0.0,487.40029094333335,0.0,0.0,51.343743063071,1.21495997905731,43.0870866147994,1.0,1.0,0.0,0.0,100.0,0.655188409440778,4.19000005722046,14.5200004577637,13.539999961853,0.81772774713662,0.0,12399.889335731,4.57032139353527,-0.04612018759699841,4.62548443137781,28.1915062961758,0.5051,0.2122989059724859,35.8,12.1000003814697,53.998,0.0,0.157753887060732,0.0,0.0,0.0,1.14741521292782,23.0963049640615,1.2056692753181468,0.6315789844271769,4.33183413126748,24.461867500098,10.2,12.5010595321655,9.0,0.0,26.09438251,87.1366571453939,-0.024186954105055846
1401,Romania,ROU,2019,20,0.0,23.0899996757508,75.7699966430664,0.0,0.0,0.0,0.0,75.4585365853659,9.6,0.0,0.0,0.0,9.7,18.79006578875,0.0,0.0,0.0,0.0,51.3632740804102,0.0,42.9034320486887,1.0,1.0,0.0,0.0,100.0,0.50318518404133,3.91000008583069,14.6599998474121,12.9200000762939,4.52791761406962,0.0,12913.0739557854,5.21512753958184,-0.04875069795742771,3.82785432599428,28.1628891099782,0.0,0.19931611851377715,0.0,0.0,54.084,0.0,0.162224862690867,0.0,0.0,0.0,1.13218476882129,0.0,0.0,0.0,4.10262018457767,0.0,10.3,0.0,9.0,0.0,27.2544319,84.5598692285511,-0.021760490056113073
1402,Romania,ROU,2020,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.84000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63107311184752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443,Slovak Republic,SVK,2000,20,0.0,5.37999999523163,92.0999984741211,0.0,72.9,12.55,27.1,73.0512195121951,10.2,7.86,5.30256939,88.44744873,14.2,11.2915942718297,0.0,0.0,95.2435989379883,3.86468005180359,51.4433878901105,1.05348002910614,45.5858818159135,0.0,0.0,83.9661731034787,92.1796462659574,100.0,0.0252901323998561,19.0599994659424,0.0,16.8099994659424,-4.23329766246984,0.0,5413.15062068807,1.33878624140516,-0.023800461935353314,12.0357805974299,29.4168544604008,0.63927,0.08239433483276176,0.0,0.0,56.233,100.0,0.169901146521464,3.72808858274496,9.356841513383511,6.659329488264374,2.29316587871617,0.0,0.4184667230808058,0.16460309683932361,1.71030559393339,0.0,15.1,0.0,0.0,0.031,0.0,108.788415121954,-0.06962548669481256
1444,Slovak Republic,SVK,2001,20,0.0,5.83000007271767,91.4800033569336,6.2,88.43,12.3,26.9,73.4024390243903,9.5,7.67,5.3315053,88.35826111,13.9,11.4040539319318,99.6387634277344,0.0,93.8267822265625,3.93569993972778,51.4623809836861,1.08765995502472,45.5304150076639,0.0,0.0,83.9642534206152,92.177986623211,100.0,0.0308011783114637,19.3799991607666,0.0,20.0699996948242,-3.21761357557567,0.0,5717.21708969017,4.07075012663051,-0.05666060356041035,7.32962019115532,29.8464554363896,0.62565,0.08570578153354601,0.0,0.0,56.163,0.0,0.168480829525622,6.00100095064196,9.306732633470952,7.317137791285785,2.48129437338339,0.0,0.4703592782643631,0.18572684544905088,2.12021767859932,0.0,15.1,3.54259991645813,0.0,0.041,0.0,121.679291527254,-0.04903893567314675
1445,Slovak Republic,SVK,2002,20,0.0,6.14000000059605,91.5199966430664,6.2,87.69,12.0,26.7,73.6048780487805,9.5,7.57,5.50947618,88.24501801,14.6,11.4766110839718,0.0,0.0,94.073371887207,4.24539995193481,51.4807808116999,1.11653995513916,45.5651569442126,0.0,1.0,83.9518552476819,92.8133257435489,100.0,0.0171095198874838,18.7199993133545,0.0,18.1399993896484,-2.01464049139504,0.0,6533.55321303732,4.07122771227513,-0.05564885178286466,3.12714222984604,29.2403327127339,0.56389,0.08238929705377361,0.0,0.0,56.013,0.0,0.169863125782157,5.48104882704932,9.222259341421246,7.300020532231139,2.25699142768996,0.0,0.4788994128972168,0.15417771389972534,2.04289904767007,0.0,14.3,6.4240198135376,0.0,0.024,0.075609403,120.373886604428,-0.11673496349707418
1446,Slovak Republic,SVK,2003,20,0.0,6.83999978750944,90.4899978637695,6.1,74.32,11.75,26.5,73.6048780487805,9.6,7.25,5.44849873,87.06156158,15.0,11.5262432141432,0.0,486.497325510347,93.2698364257813,4.20956993103027,51.4973765908793,1.15042996406555,45.4719867101736,0.0,1.0,83.9394863845207,93.4496709638431,100.0,0.0159987544684689,17.1200008392334,16.9799995422363,5.8600001335144,-4.19495970041528,0.0,8712.69879312059,0.313451267223599,-0.006022191624340606,8.55414305406651,30.5821565150089,0.56247,0.0766743576754568,0.0,0.0,55.863,0.0,0.175770161297413,5.34686805551431,9.181588889960013,7.349868071718067,1.86001099818386,0.0,0.47028180059679453,0.16395657551475107,1.81038352971388,0.0,15.3,7.80250978469849,0.0,0.046,0.415957231,125.147678981072,-0.011442218892810945
1447,Slovak Republic,SVK,2004,20,5.1,8.70999974012375,87.8899993896484,5.9,98.05,11.5,26.3,73.9585365853659,10.0,6.91,6.37190485,78.0765686,13.9,11.5756438702221,0.0,0.0,94.5894393920898,4.10157012939453,51.510545481754,1.18424999713898,45.4161057260815,0.0,1.0,83.8375863593281,94.0870223537142,100.0,0.0301354063851308,18.6000003814697,17.0799999237061,6.55999994277954,-1.59401352762266,0.0,10671.8218610632,6.51097229756019,-0.07603353842212766,7.54850088183419,32.0426492963052,0.50149,0.073711720163506,27.1,0.0,55.713,0.0,0.166752818429946,6.24730156517817,9.00127910682243,7.21280145487577,1.54868781132949,0.0,0.5180295889268616,0.2196460348306492,1.66748149791647,0.0,14.5,8.51115989685059,0.0,0.072,1.45876008,139.650377296647,-0.07080472404688569
1448,Slovak Republic,SVK,2005,20,3.1,9.46000042557716,87.3199996948242,5.5,92.73,11.2,26.1,73.9048780487805,10.1,6.79,6.58870029,74.3661499,13.7,11.6376793098971,0.0,0.0,94.3642272949219,3.75995993614197,51.5188845559572,1.22415995597839,44.8142019747086,0.0,1.0,83.7357781496565,94.7253798582661,100.0,0.0178652351410229,16.2600002288818,15.8500003814697,8.52000045776367,2.5132376235953,0.0,11685.7548224391,8.15937442214167,-0.08162974887850748,2.70908494588391,31.9269842623046,0.49401,0.06551510225474319,29.3,0.0,55.563,100.0,0.167721524396272,6.30646548231091,9.112329171790462,7.32539080596046,1.49452510828654,0.0,0.49285224650727266,0.17774693935590838,1.61878627564451,0.0,13.7,7.21301984786987,0.0,0.0,3.362460532,147.727895586359,-0.04633645474944324
1449,Slovak Republic,SVK,2006,20,2.1,9.55000030249357,87.3499984741211,5.7,82.69,10.95,25.9,74.2048780487805,10.0,6.73,6.85076714,69.11797333,14.5,11.7743193558862,0.0,503.749901727235,94.1937408447266,3.70770001411438,51.5222812120161,1.29579997062683,44.6334886167765,1.0,1.0,83.6339317892197,95.3647365601759,100.0,0.0218934228203454,13.3699998855591,14.3599996566772,18.4400005340576,3.43269077622497,0.0,13159.7594413964,8.2379142686305,-0.07711269630361366,4.48333120449611,34.2862427626697,0.47563,0.0437367649757475,25.8,0.0,55.412,0.0,0.153263088849315,6.56761632766667,9.005589744677794,7.2779629611018235,1.39226664317877,0.0,0.5548055165646949,0.2350618475079536,1.84829606419639,0.0,13.9,4.8841700553894,0.0,0.103,5.642405087,164.626286507128,-0.07357552099507123
1450,Slovak Republic,SVK,2007,20,2.0,9.77000030875206,87.1100006103516,5.4,76.33,10.65,25.5,74.2073170731707,10.1,6.78,7.17735386,68.44287872,14.0,11.9217766081117,0.0,0.0,95.8598098754883,3.52321004867554,51.5208773679111,1.32969999313354,44.7114011460118,1.0,1.0,83.5321786741121,96.005106128173,100.0,0.0166920032769395,11.1400003433228,12.5500001907349,17.2199993133545,7.03539837259773,0.0,16085.611523338,10.8481699968658,-0.053588819979634376,2.75672371638138,33.544719095972,0.44824,0.04930579303995704,24.7,0.0,55.261,0.0,0.143733318247906,8.23217672720624,8.957206292833243,6.843273815349247,1.1244244579345,0.0,0.594088291232388,0.22308545605625846,2.29599752717367,0.0,12.5,2.55069994926453,0.0,0.093,10.12586012,166.329552934429,-0.03949725724244709
1451,Slovak Republic,SVK,2008,20,2.2,10.5799998044967,86.2300033569336,5.0,100.93,10.35,25.2,74.7048780487805,10.7,6.59,6.9563446,74.84070587,12.7,12.0821851286011,0.0,0.0,95.2805786132813,3.52165007591248,51.5153642226619,1.36752998828888,44.7325071272024,1.0,1.0,83.4306464863054,96.6464887372212,100.0,0.0359028178148543,9.51000022888184,11.0600004196167,18.3999996185303,5.72225542477889,0.0,18677.2927109318,6.72578306880165,-0.06241095530498352,4.59817976325028,33.0565541303411,0.46204,0.05595593275100744,26.0,0.0,55.111,0.0,0.146093233656862,7.62943025901257,9.139033193524059,7.01055856847993,1.02296657509683,0.0,0.5067636966087916,0.19909901653265438,2.5332008641309,0.0,14.4,2.57321000099182,0.0,0.1,11.19923043,162.070856599542,-0.040978002835613675
1452,Slovak Republic,SVK,2009,20,2.4,12.2499996572732,84.3300018310547,4.0,87.17,9.95,24.9,74.909756097561,11.4,6.54,7.94779444,73.0799408,13.1,12.2575494528668,0.0,509.33303333333333,94.3474884033203,4.00641012191772,51.5066886693924,1.37215995788574,44.4459372473878,1.0,1.0,83.3290774716046,97.2888806125331,100.0,0.0144686586772574,12.0299997329712,12.5500001907349,22.9899997711182,-1.16064638856486,0.0,16531.6705140706,-4.39400684705245,-0.03392320501213738,1.61510464058236,29.4367021195351,0.47326,0.07184753618646644,27.2,0.0,54.96,0.0,0.149602912454195,9.9991415642967,8.674217656448475,6.319073237331162,1.0605986597651,0.0,0.48193543196404987,0.1550013170960494,2.08513328365435,0.0,9.6,3.80048990249634,0.0,0.087,14.34982494,136.24069102241,0.010922711854837903
1453,Slovak Republic,SVK,2010,20,2.2,12.4000004529953,84.0299987792969,3.6,69.05,9.65,24.7,75.1121951219512,11.2,6.46,7.74204493,71.58911133,13.6,12.4523388253859,0.0,0.0,87.8179931640625,4.08471012115479,51.4953574870941,1.35333001613617,44.783786885759,1.0,1.0,83.2116394302683,97.9330884269509,100.0,0.0222532262604982,14.3800001144409,14.0900001525879,20.6800003051758,2.36115909103381,0.0,16750.7974416083,4.08139094836793,-0.04661306319553161,0.957018132975136,30.6273630398208,0.61614,0.08365130722324401,27.3,0.0,54.685,100.0,0.139655330815155,10.2797356630759,9.26902520074459,6.721959562475842,1.17001951033832,0.0,0.4285320887794013,0.13028088744096425,1.66759272495957,0.0,9.0,4.97112989425659,0.0,0.085,16.22696693,154.726636918999,-0.009700823955047995
1454,Slovak Republic,SVK,2011,20,2.3,12.4999996572732,84.0,3.5,89.61,9.25,24.5,75.9585365853659,11.3,6.05,7.35716248,73.29391479,12.9,12.716102997687,0.0,0.0,90.0127716064453,3.92964005470276,51.4819006783594,1.35063004493713,44.4389138098374,1.0,1.0,83.0956607118591,98.5790425177401,100.0,0.0276396766825038,13.6199998855591,13.8100004196167,20.1200008392334,3.62649697622648,0.0,18361.5694760083,1.2802879589173,-0.04952692624993094,3.91928599146294,31.0354117998344,0.66326,0.09910373178343741,26.5,0.0,54.42,100.0,0.139123867660937,10.3575669304655,8.993756276986613,6.395396288963512,1.07502248786153,0.0,0.5130238975219251,0.15458329752014677,2.1627257821802,0.0,8.7,5.59499979019165,0.0,0.091,17.62080054,169.110709394268,-0.027578128411386696
1455,Slovak Republic,SVK,2012,20,2.7,12.4999996572732,84.4800033569336,3.5,70.23,8.9,24.5,76.109756097561,10.3,5.91,7.55277967,71.63899994,12.6,12.996166680425,99.3027725219727,498.86208694959333,92.3809967041016,3.86770009994507,51.4665661045258,1.35023999214172,44.5763892910723,1.0,1.0,82.9958568201036,99.1245251396649,100.0,0.0169748955051943,13.960000038147,13.8100004196167,21.0599994659424,5.54694692968801,0.0,17481.8954435252,3.61885505090504,0.009408268910393753,3.60610263522886,31.1378136195261,0.80495,0.12020166510743532,26.1,0.0,54.28,100.0,0.131280790076326,10.4725845421321,8.562292658353785,6.066482246491453,1.09616364394366,0.0,0.6020365229234285,0.24235615579425657,2.2721228247732,0.0,7.9,4.39433002471924,0.0,0.089,19.30769033,176.331835086592,-0.031827255200512945
