date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-04-07,2021,To save lives and alleviate suffering,357004,"Ireland, Government of",Government,IRL,2021,2021,Somalia Humanitarian Response Plan 2021,HSOM21,1011,Concern Worldwide,NGO,Health,SOM,"Emergency Health and Nutrition Interventions to the Locusts, COVID 19 and Flood displacement affected Communities in Somalia",HSOM21-HEA;NUT-171717-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-04-07,,304525,EUR,0.853,230118,Con HPP 2021,2021-04-16,2021-04-16
2021-03-29,,Unearmarked Unallocated Funds vOCT 8751 [OCT 8751];[HQHUM/2021/UNOCHA/Core/605/61015],358423,"Ireland, Government of",Government,IRL,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-03-23,2021-03-22,,300000,EUR,0.837,229220,[OCT 8751];[HQHUM/2021/UNOCHA/Core/605/61015],2021-03-31,2021-06-22
2021-03-19,2021,To save lives and alleviate suffering,167981,"Ireland, Government of",Government,IRL,2021,2021,Democratic Republic of Congo Humanitarian Response Plan 2021,HCOD21,1026,World Vision Ireland,NGO,"Emergency Shelter and NFI,Water Sanitation Hygiene",COD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-19,2021-03-19,,140600,EUR,0.837,229147,WV erf 2021,2021-03-20,2021-03-22
2021-03-19,2021,To save lives and alleviate suffering,179211,"Ireland, Government of",Government,IRL,2021,2021,Ethiopia Humanitarian Response Plan 2021,HETH21,1041,Plan Ireland,NGO,"Protection,Protection - Child Protection,Protection - Gender-Based Violence,Protection - Housing, Land and Property,Water Sanitation Hygiene",ETH,,,Ethiopia Tigray Complex Emergency,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-19,2021-03-19,,150000,EUR,0.837,229148,Plan erf 2021,2021-03-20,2021-05-20
2021-03-19,2021,To save lives and alleviate suffering,573477,"Ireland, Government of",Government,IRL,2021,2021,Democratic Republic of Congo Humanitarian Response Plan 2021,HCOD21,1026,Trocaire,NGO,"Food Security,Health",COD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-19,2021-03-19,,480000,EUR,0.837,229164,Trocaire HPP 2021,2021-03-20,2021-03-22
2021-03-19,2021,To save lives and alleviate suffering,603345,"Ireland, Government of",Government,IRL,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,Trocaire,NGO,,LBN,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-19,2021-03-19,,505000,EUR,0.837,229165,Trocaire HPP 2021,2021-03-20,2021-03-22
2021-03-19,2021,To save lives and alleviate suffering,573477,"Ireland, Government of",Government,IRL,2021,2021,Myanmar Humanitarian Response Plan 2021,HMMR21,1046,Trocaire,NGO,"Food Security,Health",MMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-19,2021-03-19,,480000,EUR,0.837,229166,Trocaire HPP 2021,2021-03-20,2021-03-22
2021-03-19,2021,To save lives and alleviate suffering,573477,"Ireland, Government of",Government,IRL,2021,2021,,,,Trocaire,NGO,"Food Security,Health",SSD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-19,2021-03-19,,480000,EUR,0.837,229167,Trocaire HPP 2021,2021-03-20,2021-03-22
2021-03-19,2021,To save lives and alleviate suffering,376344,"Ireland, Government of",Government,IRL,2021,2021,,,,Trocaire,NGO,"Food Security,Health",SDN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-19,2021-03-19,,315000,EUR,0.837,229168,Trocaire HPP 2021,2021-03-20,2021-03-22
2021-03-19,2021,To save lives and alleviate,573477,"Ireland, Government of",Government,IRL,2021,2021,,,,Trocaire,NGO,"Food Security,Health,Protection",UGA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-03-19,2021-03-19,,480000,EUR,0.837,229169,Trocaire HPP 2021,2021-03-20,2021-03-22
